file	project	class	lines	recoveredCounterpart
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Entity\ServerEntityCCStateRemove.cs	NexusUnleashed.Network.World	C-LINEAGE	20	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Entity\ServerEntityCCStateRemove.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Entity\ServerEntityCCStateSet.cs	NexusUnleashed.Network.World	C-LINEAGE	16	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Entity\ServerEntityCCStateSet.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Entity\ServerEntityCCTetherUnit.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Entity\ServerEntityCCTetherUnit.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Entity\ServerUnitEvaded.cs	NexusUnleashed.Network.World	A-AUTHORED	36	
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ClientFortuneFlipCard.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ClientFortuneFlipCard.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ClientFortuneNotifyGame.cs	NexusUnleashed.Network.World	C-LINEAGE	9	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ClientFortuneNotifyGame.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ClientFortuneNotifyStorefront.cs	NexusUnleashed.Network.World	C-LINEAGE	9	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ClientFortuneNotifyStorefront.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ClientFortuneStart.cs	NexusUnleashed.Network.World	C-LINEAGE	9	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ClientFortuneStart.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ServerFortuneCardUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	19	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ServerFortuneCardUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ServerFortuneCards.cs	NexusUnleashed.Network.World	C-LINEAGE	27	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ServerFortuneCards.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ServerFortuneReset.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ServerFortuneReset.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ServerFortuneRewards.cs	NexusUnleashed.Network.World	C-LINEAGE	44	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Fortune\ServerFortuneRewards.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\CharacterData.cs	NexusUnleashed.Network.World	C-LINEAGE	28	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\CharacterData.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountAddByEmail.cs	NexusUnleashed.Network.World	C-LINEAGE	13	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountAddByEmail.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountInviteMarkSeen.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountInviteMarkSeen.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountInviteResponse.cs	NexusUnleashed.Network.World	C-LINEAGE	13	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountInviteResponse.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountPersonalPresenceChange.cs	NexusUnleashed.Network.World	C-LINEAGE	12	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountPersonalPresenceChange.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountRemove.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountRemove.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountSetPrivateData.cs	NexusUnleashed.Network.World	C-LINEAGE	15	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountSetPrivateData.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountSetPublicDisplayName.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountSetPublicDisplayName.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountSetPublicNote.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountSetPublicNote.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountUpgradeFromFriend.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAccountUpgradeFromFriend.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAddByIdentity.cs	NexusUnleashed.Network.World	C-LINEAGE	23	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAddByIdentity.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAddByName.cs	NexusUnleashed.Network.World	C-LINEAGE	18	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipAddByName.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipBlock.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipBlock.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipGetLocations.cs	NexusUnleashed.Network.World	C-LINEAGE	25	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipGetLocations.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipIgnoreStrangersState.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipIgnoreStrangersState.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipInviteMarkSeen.cs	NexusUnleashed.Network.World	C-LINEAGE	16	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipInviteMarkSeen.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipInviteResponse.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipInviteResponse.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipRemoveByIdentity.cs	NexusUnleashed.Network.World	C-LINEAGE	15	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipRemoveByIdentity.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipRemoveByName.cs	NexusUnleashed.Network.World	C-LINEAGE	16	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipRemoveByName.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipSetAutoResponseMessage.cs	NexusUnleashed.Network.World	C-LINEAGE	13	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipSetAutoResponseMessage.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipSetNoteByIdentity.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipSetNoteByIdentity.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipSetNoteByName.cs	NexusUnleashed.Network.World	C-LINEAGE	15	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ClientFriendshipSetNoteByName.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\FriendData.cs	NexusUnleashed.Network.World	C-LINEAGE	18	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\FriendData.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountCharacterLevelUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	16	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountCharacterLevelUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountCharacterZoneChanged.cs	NexusUnleashed.Network.World	C-LINEAGE	29	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountCharacterZoneChanged.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountDisplayNameUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	13	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountDisplayNameUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountInviteList.cs	NexusUnleashed.Network.World	C-LINEAGE	37	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountInviteList.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountInviteRemove.cs	NexusUnleashed.Network.World	C-LINEAGE	13	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountInviteRemove.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountLastOnlineUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	13	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountLastOnlineUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountList.cs	NexusUnleashed.Network.World	C-LINEAGE	43	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountList.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountPersonalStatus.cs	NexusUnleashed.Network.World	C-LINEAGE	18	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountPersonalStatus.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountPresenceUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountPresenceUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountPrivateNote.cs	NexusUnleashed.Network.World	C-LINEAGE	13	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountPrivateNote.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountPublicNote.cs	NexusUnleashed.Network.World	C-LINEAGE	13	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountPublicNote.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountRemoved.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountRemoved.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountRemovedCharacter.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountRemovedCharacter.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	21	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAccountUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAdd.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipAdd.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipIgnoreStrangersState.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipIgnoreStrangersState.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipInviteList.cs	NexusUnleashed.Network.World	C-LINEAGE	43	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipInviteList.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipInviteRemove.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipInviteRemove.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipLastOnlineUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipLastOnlineUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipLevelUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipLevelUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipList.cs	NexusUnleashed.Network.World	C-LINEAGE	16	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipList.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipLocationUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	25	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipLocationUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipRemove.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipRemove.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipResult.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipResult.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipSetNote.cs	NexusUnleashed.Network.World	C-LINEAGE	13	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipSetNote.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipTypeUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Friendship\ServerFriendshipTypeUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GalacticArchive\ClientGalacticArchiveUnlock.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GalacticArchive\ClientGalacticArchiveUnlock.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GalacticArchive\ClientGalacticArchiveViewed.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GalacticArchive\ClientGalacticArchiveViewed.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GalacticArchive\ServerGalacticArchiveRefresh.cs	NexusUnleashed.Network.World	C-LINEAGE	9	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GalacticArchive\ServerGalacticArchiveRefresh.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GalacticArchive\ServerGalacticArchiveUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	15	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GalacticArchive\ServerGalacticArchiveUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ClientItemGenericUnlock.cs	NexusUnleashed.Network.World	C-LINEAGE	12	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ClientItemGenericUnlock.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ServerGenericUnlock.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ServerGenericUnlock.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ServerGenericUnlockAccountList.cs	NexusUnleashed.Network.World	C-LINEAGE	16	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ServerGenericUnlockAccountList.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ServerGenericUnlockCharacterList.cs	NexusUnleashed.Network.World	C-LINEAGE	16	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ServerGenericUnlockCharacterList.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ServerGenericUnlockCharacterRefresh.cs	NexusUnleashed.Network.World	C-LINEAGE	16	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ServerGenericUnlockCharacterRefresh.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ServerGenericUnlockResult.cs	NexusUnleashed.Network.World	C-LINEAGE	12	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.GenericUnlock\ServerGenericUnlockResult.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildBankMoneyTransaction.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildBankMoneyTransaction.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildBankTabOpen.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildBankTabOpen.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildBankTabRename.cs	NexusUnleashed.Network.World	C-LINEAGE	6	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildBankTabRename.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildBankTransaction.cs	NexusUnleashed.Network.World	C-LINEAGE	22	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildBankTransaction.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildBankTransaction2.cs	NexusUnleashed.Network.World	C-LINEAGE	26	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildBankTransaction2.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildHolomarkUpdate.cs	NexusUnleashed.Network.World	C-LINEAGE	17	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildHolomarkUpdate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildInviteResponse.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildInviteResponse.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildOperation.cs	NexusUnleashed.Network.World	C-LINEAGE	37	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildOperation.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildPerkActivate.cs	NexusUnleashed.Network.World	C-LINEAGE	6	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildPerkActivate.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildRegister.cs	NexusUnleashed.Network.World	C-LINEAGE	26	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildRegister.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildSetStandard.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildSetStandard.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildStandardModify.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientGuildStandardModify.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientRecruitmentGuildGetDetailedGuildInfo.cs	NexusUnleashed.Network.World	C-LINEAGE	12	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientRecruitmentGuildGetDetailedGuildInfo.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientRecruitmentGuildSubscribe.cs	NexusUnleashed.Network.World	C-LINEAGE	11	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientRecruitmentGuildSubscribe.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientWarPartyBossTokensRequest.cs	NexusUnleashed.Network.World	C-LINEAGE	12	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ClientWarPartyBossTokensRequest.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildData.cs	NexusUnleashed.Network.World	C-LINEAGE	109	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildData.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildEventLog.cs	NexusUnleashed.Network.World	C-LINEAGE	26	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildEventLog.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildMember.cs	NexusUnleashed.Network.World	C-LINEAGE	39	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildMember.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildRank.cs	NexusUnleashed.Network.World	C-LINEAGE	19	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildRank.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildStandard.cs	NexusUnleashed.Network.World	C-LINEAGE	41	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildStandard.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildStats.cs	NexusUnleashed.Network.World	C-LINEAGE	15	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildStats.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildWithdrawlInfo.cs	NexusUnleashed.Network.World	C-LINEAGE	18	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\GuildWithdrawlInfo.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\RecruitmentDemands.cs	NexusUnleashed.Network.World	C-LINEAGE	33	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\RecruitmentDemands.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\RecruitmentGuildInfo.cs	NexusUnleashed.Network.World	C-LINEAGE	23	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\RecruitmentGuildInfo.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankInventoryAdd.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankInventoryAdd.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankInventoryCount.cs	NexusUnleashed.Network.World	C-LINEAGE	16	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankInventoryCount.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankInventoryRemove.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankInventoryRemove.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankTabCount.cs	NexusUnleashed.Network.World	C-LINEAGE	14	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankTabCount.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankTabInventory.cs	NexusUnleashed.Network.World	C-LINEAGE	21	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankTabInventory.cs
NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankTabRename.cs	NexusUnleashed.Network.World	C-LINEAGE	18	NexusUnleashed.Network.World\NexusUnleashed.Network.World.Message.Model.Guild\ServerGuildBankTabRename.cs
