file	project	class	lines	recoveredCounterpart
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IEvilFromTheEtherOnOpenMedbay.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IEvilFromTheEtherOnOpenMedbay.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IFragmentZeroFirstWarning.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IFragmentZeroFirstWarning.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IFragmentZeroOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IFragmentZeroOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IGauntletFindOutWhatHappened.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IGauntletFindOutWhatHappened.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IGauntletOnSpawnBrickBraggor.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IGauntletOnSpawnBrickBraggor.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IGeneticArchivesOpenOhmnaDoor.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IGeneticArchivesOpenOhmnaDoor.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IInfestationOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IInfestationOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IInitializationCoreY83OpenDoor.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IInitializationCoreY83OpenDoor.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IJourneyIntoOMNICore1OnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IJourneyIntoOMNICore1OnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\ILevianBayOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\ILevianBayOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\INorthernWildsOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\INorthernWildsOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\INoviceTutorialCombatProjector.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\INoviceTutorialCombatProjector.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\INoviceTutorialOnEnter.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\INoviceTutorialOnEnter.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IProtostarSuperMallInTheSkyOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IProtostarSuperMallInTheSkyOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IQ3486EmpoweredTowerCinematic.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IQ3486EmpoweredTowerCinematic.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IQ3673ContactWithThaydCinematic.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IQ3673ContactWithThaydCinematic.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IQ3963MoreImportantThanRevengeDepartureCinematic.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IQ3963MoreImportantThanRevengeDepartureCinematic.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IQ5573PoweringDownCinematic.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IQ5573PoweringDownCinematic.cs
